,account_key,subscription_start,total_study_hrs,lessons_completed,projects_completed,Intro to Data Science_hrs,Intro to HTML and CSS_hrs,Data Analyst Nanodegree_hrs,Data Visualization and D3.js_hrs,Data Analysis with R_hrs,JavaScript Basics_hrs,Intro to Machine Learning_hrs,A/B Testing_hrs,Data Wrangling with MongoDB_hrs,Intro to Data Science_lesson,Intro to HTML and CSS_lesson,Data Analyst Nanodegree_lesson,Data Visualization and D3.js_lesson,Data Analysis with R_lesson,JavaScript Basics_lesson,Intro to Machine Learning_lesson,A/B Testing_lesson,Data Wrangling with MongoDB_lesson,Intro to Data Science_proj,Intro to HTML and CSS_proj,Data Analyst Nanodegree_proj,Data Visualization and D3.js_proj,Data Analysis with R_proj,JavaScript Basics_proj,Intro to Machine Learning_proj,A/B Testing_proj,Data Wrangling with MongoDB_proj
660,457,2015,93.2198085277705,10.0,1.0,20.29638988611,0.0,4.19467908889,0.05417744722216666,24.727192824986666,0.0,8.912997511111167,0.0,35.0343717694445,7.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
661,305,2015,84.8869397971798,11.0,1.0,25.3456345722098,0.0,2.843717333334500,9.165866988884499,21.9595989333221,0.0,0.06461043888883333,0.0,25.507511530539997,9.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
662,944,2015,2.040343227777833,0.0,0.0,0.786604849999500,0.0,1.253738377778333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,685,2015,0.14992182777783333,0.0,0.0,0.0,0.0,0.14992182777783333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,659,2015,0.04530150833333334,0.0,0.0,0.0,0.0,0.04530150833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,1294,2015,0.938948358333333,0.0,0.0,0.0,0.0,0.938948358333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,485,2015,76.6776969861038,9.0,0.0,30.164747874981668,0.0,3.049745405554333,0.563688208333333,0.687381491666666,0.0,0.49459394722283334,1.33298129444,40.384558763899996,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,768,2015,1.152951997221666,0.0,0.0,0.0,0.0,1.152951997221666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,1168,2015,2.360536455549999,0.0,0.0,0.0,0.0,2.360536455549999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,652,2015,94.2520263444373,0.0,1.0,43.3939278194466,0.0,5.176602019447333,0.0,25.780291063882668,0.0,9.7029603749935,0.0,10.198245066667166,9.0,0.0,1.0,0.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
670,1276,2015,1.0482154250005,0.0,0.0,1.01091674444,0.0,0.0372986805555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
